Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2025-09-15,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-09-16,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-09-17,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-09-18,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-09-19,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-09-22,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-09-23,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-09-24,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-09-25,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-09-26,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-09-29,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-09-30,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-01,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-02,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-03,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-06,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-07,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-08,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-09,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-10,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-13,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-14,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-15,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-16,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-17,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-20,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-21,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-22,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-23,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-24,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-27,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-28,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-29,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-30,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-10-31,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-03,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-04,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-05,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-06,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-07,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-10,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-11,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-12,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-13,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-14,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-17,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-18,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-19,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-20,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-21,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-24,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-25,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-26,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-11-28,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-12-01,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-12-02,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-12-03,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-12-04,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-12-05,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-12-08,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-12-09,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-12-10,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-12-11,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-12-12,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-12-15,10000.0,9999.0,-1.0,-0.01,0.01,"{""SOXL"": 242.8120471100049}",vol_target_off;persistence_off;inverse_blocker_no_inverse_exposure
2025-12-16,9831.46,9831.46,0.0,0.0,1.6854,"{""SOXL"": 242.8120471100049}",vol_target_off;persistence_off;inverse_blocker_trend_not_bull
2025-12-17,8743.66,8743.66,0.0,0.0,12.5634,"{""SOXL"": 242.8120471100049}",vol_target_off;persistence_off;inverse_blocker_trend_not_bull
2025-12-18,9367.69,9615.35,247.66,2.6437,3.8465,"{""SOXL"": 249.23136836896688}",optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_trend_not_bull
