candidate_id,window,period,final_equity,pnl,return_pct,max_dd_pct,days
C_sp5.0_rv70_tr1.10_th1.10,3m,2026-01-12 to 2026-04-10,30179.02,20179.02,201.7902,24.69,62
C_sp5.0_rv70_tr1.10_th1.10,4m,2025-12-10 to 2026-04-10,32351.28,22351.28,223.5128,28.08,83
C_sp5.0_rv70_tr1.10_th1.10,5m,2025-11-10 to 2026-04-10,44828.21,34828.21,348.2821,28.08,104
C_sp5.0_rv70_tr1.10_th1.10,6m,2025-10-10 to 2026-04-10,47955.17,37955.17,379.5517,30.67,125
C_sp5.0_rv70_tr1.10_th1.10,1y,2025-04-10 to 2026-04-10,77343.38,67343.38,673.4338,33.64,251
C_sp5.0_rv75_tr0.90_th1.10,1m,2026-03-10 to 2026-04-10,20327.62,10327.62,103.2762,16.73,23
C_sp5.0_rv75_tr0.90_th1.10,2m,2026-02-10 to 2026-04-10,27906.73,17906.73,179.0673,16.73,42
C_sp5.0_rv75_tr0.90_th1.10,3m,2026-01-12 to 2026-04-10,30511.83,20511.83,205.1183,24.69,62
C_sp5.0_rv75_tr0.90_th1.10,4m,2025-12-10 to 2026-04-10,31829.19,21829.19,218.2919,28.08,83
C_sp5.0_rv75_tr0.90_th1.10,5m,2025-11-10 to 2026-04-10,42630.55,32630.55,326.3055,28.08,104
C_sp5.0_rv75_tr0.90_th1.10,6m,2025-10-10 to 2026-04-10,45729.57,35729.57,357.2957,30.11,125
C_sp5.0_rv75_tr0.90_th1.10,1y,2025-04-10 to 2026-04-10,69674.1,59674.1,596.741,33.46,251
C_sp5.0_rv75_tr1.00_th1.10,1m,2026-03-10 to 2026-04-10,20006.42,10006.42,100.0642,16.73,23
C_sp5.0_rv75_tr1.00_th1.10,2m,2026-02-10 to 2026-04-10,27242.72,17242.72,172.4272,16.73,42
C_sp5.0_rv75_tr1.00_th1.10,3m,2026-01-12 to 2026-04-10,29543.91,19543.91,195.4391,24.69,62
C_sp5.0_rv75_tr1.00_th1.10,4m,2025-12-10 to 2026-04-10,30569.17,20569.17,205.6917,28.08,83
C_sp5.0_rv75_tr1.00_th1.10,5m,2025-11-10 to 2026-04-10,42073.84,32073.84,320.7384,28.08,104
C_sp5.0_rv75_tr1.00_th1.10,6m,2025-10-10 to 2026-04-10,44674.67,34674.67,346.7467,30.39,125
C_sp5.0_rv75_tr1.00_th1.10,1y,2025-04-10 to 2026-04-10,73181.45,63181.45,631.8145,34.13,251
C_sp5.0_rv75_tr1.10_th1.10,1m,2026-03-10 to 2026-04-10,20132.76,10132.76,101.3276,16.73,23
C_sp5.0_rv75_tr1.10_th1.10,2m,2026-02-10 to 2026-04-10,27191.63,17191.63,171.9163,16.73,42
C_sp5.0_rv75_tr1.10_th1.10,3m,2026-01-12 to 2026-04-10,30179.02,20179.02,201.7902,24.69,62
C_sp5.0_rv75_tr1.10_th1.10,4m,2025-12-10 to 2026-04-10,32351.28,22351.28,223.5128,28.08,83
C_sp5.0_rv75_tr1.10_th1.10,5m,2025-11-10 to 2026-04-10,44828.21,34828.21,348.2821,28.08,104
C_sp5.0_rv75_tr1.10_th1.10,6m,2025-10-10 to 2026-04-10,47955.17,37955.17,379.5517,30.67,125
C_sp5.0_rv75_tr1.10_th1.10,1y,2025-04-10 to 2026-04-10,78253.22,68253.22,682.5322,33.64,251
C_sp5.0_rv75_tr1.20_th1.10,1m,2026-03-10 to 2026-04-10,19805.73,9805.73,98.0573,16.73,23
C_sp5.0_rv75_tr1.20_th1.10,2m,2026-02-10 to 2026-04-10,26531.81,16531.81,165.3181,16.73,42
C_sp5.0_rv75_tr1.20_th1.10,3m,2026-01-12 to 2026-04-10,29206.57,19206.57,192.0657,24.69,62
C_sp5.0_rv75_tr1.20_th1.10,4m,2025-12-10 to 2026-04-10,31053.51,21053.51,210.5351,28.08,83
C_sp5.0_rv75_tr1.20_th1.10,5m,2025-11-10 to 2026-04-10,42679.02,32679.02,326.7902,28.08,104
C_sp5.0_rv75_tr1.20_th1.10,6m,2025-10-10 to 2026-04-10,45307.47,35307.47,353.0747,30.96,125
C_sp5.0_rv75_tr1.20_th1.10,1y,2025-04-10 to 2026-04-10,72297.78,62297.78,622.9778,34.15,251
C_sp5.0_rv80_tr1.00_th1.10,1m,2026-03-10 to 2026-04-10,20006.42,10006.42,100.0642,16.73,23
C_sp5.0_rv80_tr1.00_th1.10,2m,2026-02-10 to 2026-04-10,27242.72,17242.72,172.4272,16.73,42
C_sp5.0_rv80_tr1.00_th1.10,3m,2026-01-12 to 2026-04-10,29543.91,19543.91,195.4391,24.69,62
C_sp5.0_rv80_tr1.00_th1.10,4m,2025-12-10 to 2026-04-10,30569.17,20569.17,205.6917,28.08,83
C_sp5.0_rv80_tr1.00_th1.10,5m,2025-11-10 to 2026-04-10,42073.84,32073.84,320.7384,28.08,104
C_sp5.0_rv80_tr1.00_th1.10,6m,2025-10-10 to 2026-04-10,44674.67,34674.67,346.7467,30.39,125
C_sp5.0_rv80_tr1.00_th1.10,1y,2025-04-10 to 2026-04-10,73181.45,63181.45,631.8145,34.13,251
C_sp5.0_rv80_tr1.10_th1.10,1m,2026-03-10 to 2026-04-10,20132.76,10132.76,101.3276,16.73,23
C_sp5.0_rv80_tr1.10_th1.10,2m,2026-02-10 to 2026-04-10,27191.63,17191.63,171.9163,16.73,42
C_sp5.0_rv80_tr1.10_th1.10,3m,2026-01-12 to 2026-04-10,30179.02,20179.02,201.7902,24.69,62
C_sp5.0_rv80_tr1.10_th1.10,4m,2025-12-10 to 2026-04-10,32351.28,22351.28,223.5128,28.08,83
C_sp5.0_rv80_tr1.10_th1.10,5m,2025-11-10 to 2026-04-10,44828.21,34828.21,348.2821,28.08,104
C_sp5.0_rv80_tr1.10_th1.10,6m,2025-10-10 to 2026-04-10,47955.17,37955.17,379.5517,30.67,125
C_sp5.0_rv80_tr1.10_th1.10,1y,2025-04-10 to 2026-04-10,78253.22,68253.22,682.5322,33.64,251
C_sp5.0_rv80_tr1.20_th1.10,1m,2026-03-10 to 2026-04-10,19805.73,9805.73,98.0573,16.73,23
C_sp5.0_rv80_tr1.20_th1.10,2m,2026-02-10 to 2026-04-10,26531.81,16531.81,165.3181,16.73,42
C_sp5.0_rv80_tr1.20_th1.10,3m,2026-01-12 to 2026-04-10,29206.57,19206.57,192.0657,24.69,62
C_sp5.0_rv80_tr1.20_th1.10,4m,2025-12-10 to 2026-04-10,31053.51,21053.51,210.5351,28.08,83
C_sp5.0_rv80_tr1.20_th1.10,5m,2025-11-10 to 2026-04-10,42679.02,32679.02,326.7902,28.08,104
C_sp5.0_rv80_tr1.20_th1.10,6m,2025-10-10 to 2026-04-10,45307.47,35307.47,353.0747,30.96,125
C_sp5.0_rv80_tr1.20_th1.10,1y,2025-04-10 to 2026-04-10,72297.78,62297.78,622.9778,34.15,251
C_sp5.0_rv85_tr1.00_th1.10,1m,2026-03-10 to 2026-04-10,20006.42,10006.42,100.0642,16.73,23
C_sp5.0_rv85_tr1.00_th1.10,2m,2026-02-10 to 2026-04-10,27242.72,17242.72,172.4272,16.73,42
C_sp5.0_rv85_tr1.00_th1.10,3m,2026-01-12 to 2026-04-10,29543.91,19543.91,195.4391,24.69,62
C_sp5.0_rv85_tr1.00_th1.10,4m,2025-12-10 to 2026-04-10,30569.17,20569.17,205.6917,28.08,83
