date,day_start_equity,start_ticker,intraday_change_time,intraday_ticker_change,buy_time,buy_ticker,end_of_day_ticker,day_end_equity,pnl_usd,return_pct,drawdown_pct
2026-03-11,10000.0,CASH,no change,no change,15:55,SOXS,SOXS,9999.000099990002,-0.999900009997873,-0.0099990000999805,0.0099990000999787
2026-03-12,9999.000099990002,SOXS,10:02,SOXS->CASH (SOXS),15:55,SOXL,SOXL,10797.177614102324,798.1775141123217,7.98257331863732,0.0
2026-03-13,10797.177614102324,SOXL,no change,no change,no change,no change,SOXL,10872.622057403098,75.44444330077386,0.698742263924923,0.0
2026-03-16,10872.622057403098,SOXL,10:38,SOXL->CASH (SOXL),15:55,SOXL,SOXL,11696.377646511106,823.7555891080083,7.576420708444642,0.0
2026-03-17,11696.377646511106,SOXL,no change,no change,no change,no change,SOXL,11931.568260144171,235.19061363306537,2.010798733941521,0.0
2026-03-18,11931.568260144171,SOXL,no change,no change,no change,no change,SOXL,11859.704461534067,-71.86379861010391,-0.602299689724406,0.6022996897244048
2026-03-19,11859.704461534067,SOXL,no change,no change,no change,no change,SOXL,11975.12207748363,115.41761594956188,0.9731913330885078,0.0
2026-03-20,11975.12207748363,SOXL,no change,no change,no change,no change,SOXL,11050.692304453658,-924.4297730299712,-7.719585379159866,7.719585379159866
2026-03-23,11050.692304453658,SOXL,07:13,SOXL->CASH (SOXL),15:55,SOXS,SOXS,11820.754867556669,770.0625631030107,6.968455386208339,1.2890658560985486
2026-03-24,11820.754867556669,SOXS,no change,no change,no change,no change,SOXS,11477.555833798648,-343.19903375802096,-2.9033597059014205,4.154999343351469
2026-03-25,11477.555833798648,SOXS,no change,no change,no change,no change,SOXS,11017.16879942053,-460.3870343781182,-4.011194029850751,7.999528287601369
2026-03-26,11017.16879942053,SOXS,11:05,SOXS->CASH (SOXS),15:55,SOXL,SOXL,11974.091841087904,956.9230416673744,8.685743670530899,0.0086031389831291
2026-03-27,11974.091841087904,SOXL,no change,no change,no change,no change,SOXL,11387.485994616973,-586.6058464709313,-4.898958971218603,4.907140645952717
2026-03-30,11387.485994616973,SOXL,no change,no change,no change,no change,SOXL,9971.077294492366,-1416.4087001246062,-12.438291478858131,16.73506766798973
2026-03-31,9971.077294492366,SOXL,10:07,SOXL->CASH (SOXL),15:55,SOXL,SOXL,10716.856163151617,745.7788686592485,7.479421196255176,10.507332670101828
2026-04-01,10716.856163151617,SOXL,09:43,SOXL->CASH (SOXL),15:55,SOXL,SOXL,11427.924708979435,711.0685458278203,6.635047956253515,4.5694512754326615
2026-04-02,11427.924708979435,SOXL,no change,no change,no change,no change,SOXL,11550.511392956612,122.58668397717702,1.0726941863806294,3.545773327233101
2026-04-06,11550.511392956612,SOXL,no change,no change,no change,no change,SOXL,11975.1866910204,424.6752980637884,3.676679617170464,0.0
2026-04-07,11975.1866910204,SOXL,19:33,SOXL->CASH (SOXL),15:55,SOXL,SOXL,13849.218701958498,1874.0320109380973,15.649292652308633,0.0
2026-04-08,13849.218701958498,SOXL,04:03,SOXL->CASH (SOXL),15:55,SOXS,SOXS,15716.57327460067,1867.3545726421728,13.483465116902948,0.0
2026-04-09,15716.57327460067,SOXS,no change,no change,15:55,SOXL,SOXL,14645.555419043118,-1071.017855557553,-6.814576160112518,6.814576160112521
2026-04-10,14645.555419043118,SOXL,no change,no change,no change,no change,SOXL,15563.89333965326,918.3379206101436,6.270420576989921,0.9714581689009356
