cid,base_rebalance_threshold,controlplane_threshold_cap,controlplane_hysteresis_enter,controlplane_hysteresis_exit,controlplane_hysteresis_enter_days,controlplane_hysteresis_exit_days,eval_hhmm,terminal_equity,total_return_pct,avg_monthly_return_pct,median_monthly_return_pct,win_months,loss_months,avg_monthly_maxdd_pct,worst_month_return_pct,worst_month_maxdd_pct
UPG2Y-0050,0.06,0.4,0.6,0.54,3,2,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375
UPG2Y-0051,0.06,0.4,0.6,0.56,3,1,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375
UPG2Y-0054,0.06,0.4,0.62,0.56,3,2,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375
UPG2Y-0055,0.06,0.4,0.64,0.54,3,1,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375
UPG2Y-0058,0.06,0.5,0.6,0.54,3,2,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375
UPG2Y-0059,0.06,0.5,0.6,0.56,3,1,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375
UPG2Y-0062,0.06,0.5,0.62,0.56,3,2,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375
UPG2Y-0063,0.06,0.5,0.64,0.54,3,1,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375
UPG2Y-0066,0.06,0.6,0.6,0.54,3,2,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375
UPG2Y-0067,0.06,0.6,0.6,0.56,3,1,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375
UPG2Y-0070,0.06,0.6,0.62,0.56,3,2,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375
UPG2Y-0071,0.06,0.6,0.64,0.54,3,1,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375
