name,inverse_cap_weight,ramp_days,sticky_threshold_days,guard_enabled,guard_rv20_ann,guard_chop_crossovers20,recent_inverse_cap_weight,recent_days,shock_down_pct,shock_hold_days,fixed_enter_days,recent_primary_cap_weight,recent_defensive_blend,defensive_trigger_down_pct,recent_aggressive_total_cap,recent_always_defensive_blend,changed_recent_cap_days,changed_primary_cap_days,changed_defensive_blend_days,changed_total_aggr_cap_days,changed_always_def_blend_days,changed_shock_days,short_dd_ok,med_dd_ok,long_dd_ok,long_ret_ok,pass_all,score,base_1m_ret,base_1m_dd,cfg_1m_ret,cfg_1m_dd,delta_1m_ret,delta_1m_dd,base_2m_ret,base_2m_dd,cfg_2m_ret,cfg_2m_dd,delta_2m_ret,delta_2m_dd,base_3m_ret,base_3m_dd,cfg_3m_ret,cfg_3m_dd,delta_3m_ret,delta_3m_dd,base_4m_ret,base_4m_dd,cfg_4m_ret,cfg_4m_dd,delta_4m_ret,delta_4m_dd,base_5m_ret,base_5m_dd,cfg_5m_ret,cfg_5m_dd,delta_5m_ret,delta_5m_dd,base_6m_ret,base_6m_dd,cfg_6m_ret,cfg_6m_dd,delta_6m_ret,delta_6m_dd,base_1y_ret,base_1y_dd,cfg_1y_ret,cfg_1y_dd,delta_1y_ret,delta_1y_dd
C041,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,4,0.45,0.15,-0.008,0.35,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
C042,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,5,0.45,0.15,-0.008,0.35,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
C046,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,3,0.45,0.15,-0.01,0.35,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
C047,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,4,0.45,0.15,-0.01,0.35,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
C048,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,5,0.45,0.15,-0.01,0.35,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
C052,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,3,0.45,0.15,-0.015,0.35,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
C053,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,4,0.45,0.15,-0.015,0.35,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
C054,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,5,0.45,0.15,-0.015,0.35,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
C076,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,3,0.55,0.15,-0.008,0.35,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
C077,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,4,0.55,0.15,-0.008,0.35,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
C078,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,5,0.55,0.15,-0.008,0.35,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
C082,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,3,0.55,0.15,-0.01,0.35,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
C083,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,4,0.55,0.15,-0.01,0.35,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
C084,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,5,0.55,0.15,-0.01,0.35,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
C088,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,3,0.55,0.15,-0.015,0.35,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
C089,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,4,0.55,0.15,-0.015,0.35,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
C090,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,5,0.55,0.15,-0.015,0.35,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
C400,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,3,0.55,0.15,-0.008,0.5,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
C401,0.65,3,4,True,0.85,8.0,0.25,20,-0.06,1,4,0.55,0.15,-0.008,0.5,0.0,0,0,5,11,0,75,True,True,True,True,True,4309.385303158193,95.08989836837496,7.999528287601359,95.34578840186082,7.999528287601356,0.25589003348585493,-3.552713678800501e-15,110.20108235875324,8.66704569580889,110.476793005247,8.655432795670373,0.27571064649376353,-0.011612900138516125,46.245464785070965,22.704213841574788,60.81074570955482,16.760873680215205,14.565280924483858,-5.943340161359583,80.50893326772821,29.044692603023503,98.48667586841209,22.52689661686814,17.977742600683882,-6.517795986155363,129.55068534363105,29.044692603023563,152.4127291229135,22.526896616868175,22.86204377928246,-6.517795986155388,48.3268094832519,29.04469260302352,79.42804988535572,28.303574542114607,31.10124040210382,-0.7411180609089136,136.43357697744025,35.42609707057258,285.6480291656521,28.303574542114667,149.21445218821182,-7.122522528457914
