candidate_id,window,period,final_equity,pnl,return_pct,max_dd_pct,days
C_sp4.7_rv80_tr1.10_th1.18,2m,2026-02-10 to 2026-04-10,27698.03,17698.03,176.9803,16.73,42
C_sp4.7_rv80_tr1.10_th1.18,3m,2026-01-12 to 2026-04-10,31188.42,21188.42,211.8842,24.69,62
C_sp4.7_rv80_tr1.10_th1.18,4m,2025-12-10 to 2026-04-10,33916.76,23916.76,239.1676,28.08,83
C_sp4.7_rv80_tr1.10_th1.18,5m,2025-11-10 to 2026-04-10,46997.45,36997.45,369.9745,28.08,104
C_sp4.7_rv80_tr1.10_th1.18,6m,2025-10-10 to 2026-04-10,50925.61,40925.61,409.2561,29.78,125
C_sp4.7_rv80_tr1.10_th1.18,1y,2025-04-10 to 2026-04-10,87142.22,77142.22,771.4222,32.78,251
C_sp4.7_rv80_tr1.10_th1.20,1m,2026-03-10 to 2026-04-10,20305.24,10305.24,103.0524,16.73,23
C_sp4.7_rv80_tr1.10_th1.20,2m,2026-02-10 to 2026-04-10,27698.03,17698.03,176.9803,16.73,42
C_sp4.7_rv80_tr1.10_th1.20,3m,2026-01-12 to 2026-04-10,31188.42,21188.42,211.8842,24.69,62
C_sp4.7_rv80_tr1.10_th1.20,4m,2025-12-10 to 2026-04-10,34828.26,24828.26,248.2826,28.08,83
C_sp4.7_rv80_tr1.10_th1.20,5m,2025-11-10 to 2026-04-10,48260.48,38260.48,382.6048,28.08,104
C_sp4.7_rv80_tr1.10_th1.20,6m,2025-10-10 to 2026-04-10,52294.21,42294.21,422.9421,29.78,125
C_sp4.7_rv80_tr1.10_th1.20,1y,2025-04-10 to 2026-04-10,89484.12,79484.12,794.8412,32.78,251
C_sp4.7_rv80_tr1.12_th1.18,1m,2026-03-10 to 2026-04-10,20238.9,10238.9,102.389,16.73,23
C_sp4.7_rv80_tr1.12_th1.18,2m,2026-02-10 to 2026-04-10,27573.67,17573.67,175.7367,16.73,42
C_sp4.7_rv80_tr1.12_th1.18,3m,2026-01-12 to 2026-04-10,30997.63,20997.63,209.9763,24.69,62
C_sp4.7_rv80_tr1.12_th1.18,4m,2025-12-10 to 2026-04-10,33667.94,23667.94,236.6794,28.08,83
C_sp4.7_rv80_tr1.12_th1.18,5m,2025-11-10 to 2026-04-10,46576.38,36576.38,365.7638,28.08,104
C_sp4.7_rv80_tr1.12_th1.18,6m,2025-10-10 to 2026-04-10,50407.45,40407.45,404.0745,29.81,125
C_sp4.7_rv80_tr1.12_th1.18,1y,2025-04-10 to 2026-04-10,85776.28,75776.28,757.7628,32.87,251
C_sp4.7_rv80_tr1.12_th1.20,1m,2026-03-10 to 2026-04-10,20238.9,10238.9,102.389,16.73,23
C_sp4.7_rv80_tr1.12_th1.20,2m,2026-02-10 to 2026-04-10,27573.67,17573.67,175.7367,16.73,42
C_sp4.7_rv80_tr1.12_th1.20,3m,2026-01-12 to 2026-04-10,30997.63,20997.63,209.9763,24.69,62
C_sp4.7_rv80_tr1.12_th1.20,4m,2025-12-10 to 2026-04-10,34586.89,24586.89,245.8689,28.08,83
C_sp4.7_rv80_tr1.12_th1.20,5m,2025-11-10 to 2026-04-10,47847.67,37847.67,378.4767,28.08,104
C_sp4.7_rv80_tr1.12_th1.20,6m,2025-10-10 to 2026-04-10,51783.3,41783.3,417.833,29.81,125
C_sp4.7_rv80_tr1.12_th1.20,1y,2025-04-10 to 2026-04-10,88117.52,78117.52,781.1752,32.87,251
C_sp4.8_rv70_tr1.10_th1.18,1m,2026-03-10 to 2026-04-10,20241.82,10241.82,102.4182,16.73,23
C_sp4.8_rv70_tr1.10_th1.18,2m,2026-02-10 to 2026-04-10,27611.51,17611.51,176.1151,16.73,42
C_sp4.8_rv70_tr1.10_th1.18,3m,2026-01-12 to 2026-04-10,31090.99,21090.99,210.9099,24.69,62
C_sp4.8_rv70_tr1.10_th1.18,4m,2025-12-10 to 2026-04-10,33810.82,23810.82,238.1082,28.08,83
C_sp4.8_rv70_tr1.10_th1.18,5m,2025-11-10 to 2026-04-10,46850.65,36850.65,368.5065,28.08,104
C_sp4.8_rv70_tr1.10_th1.18,6m,2025-10-10 to 2026-04-10,50766.53,40766.53,407.6653,29.78,125
C_sp4.8_rv70_tr1.10_th1.18,1y,2025-04-10 to 2026-04-10,85787.0,75787.0,757.87,32.78,251
C_sp4.8_rv70_tr1.10_th1.20,1m,2026-03-10 to 2026-04-10,20241.82,10241.82,102.4182,16.73,23
