candidate_id,window,period,final_equity,pnl,return_pct,max_dd_pct,days
C_sp4.7_rv75_tr1.10_th1.18,6m,2025-10-10 to 2026-04-10,50925.61,40925.61,409.2561,29.78,125
C_sp4.7_rv75_tr1.10_th1.18,1y,2025-04-10 to 2026-04-10,87142.22,77142.22,771.4222,32.78,251
C_sp4.7_rv75_tr1.10_th1.20,2m,2026-02-10 to 2026-04-10,27698.03,17698.03,176.9803,16.73,42
C_sp4.7_rv75_tr1.10_th1.20,3m,2026-01-12 to 2026-04-10,31188.42,21188.42,211.8842,24.69,62
C_sp4.7_rv75_tr1.10_th1.20,6m,2025-10-10 to 2026-04-10,52294.21,42294.21,422.9421,29.78,125
C_sp4.7_rv75_tr1.10_th1.20,1y,2025-04-10 to 2026-04-10,89484.12,79484.12,794.8412,32.78,251
C_sp4.7_rv75_tr1.10_th1.22,2m,2026-02-10 to 2026-04-10,27698.03,17698.03,176.9803,16.73,42
C_sp4.7_rv75_tr1.10_th1.22,3m,2026-01-12 to 2026-04-10,31188.42,21188.42,211.8842,24.69,62
C_sp4.7_rv75_tr1.10_th1.22,6m,2025-10-10 to 2026-04-10,42361.11,32361.11,323.6111,34.12,125
C_sp4.7_rv75_tr1.10_th1.22,1y,2025-04-10 to 2026-04-10,72486.94,62486.94,624.8694,36.12,251
C_sp4.7_rv75_tr1.12_th1.18,2m,2026-02-10 to 2026-04-10,27573.67,17573.67,175.7367,16.73,42
C_sp4.7_rv75_tr1.12_th1.18,3m,2026-01-12 to 2026-04-10,30997.63,20997.63,209.9763,24.69,62
C_sp4.7_rv75_tr1.12_th1.18,6m,2025-10-10 to 2026-04-10,50407.45,40407.45,404.0745,29.81,125
C_sp4.7_rv75_tr1.12_th1.18,1y,2025-04-10 to 2026-04-10,85776.28,75776.28,757.7628,32.87,251
C_sp4.7_rv75_tr1.12_th1.20,2m,2026-02-10 to 2026-04-10,27573.67,17573.67,175.7367,16.73,42
C_sp4.7_rv75_tr1.12_th1.20,3m,2026-01-12 to 2026-04-10,30997.63,20997.63,209.9763,24.69,62
C_sp4.7_rv75_tr1.12_th1.20,6m,2025-10-10 to 2026-04-10,51783.3,41783.3,417.833,29.81,125
C_sp4.7_rv75_tr1.12_th1.20,1y,2025-04-10 to 2026-04-10,88117.52,78117.52,781.1752,32.87,251
C_sp4.7_rv75_tr1.12_th1.22,2m,2026-02-10 to 2026-04-10,27573.67,17573.67,175.7367,16.73,42
C_sp4.7_rv75_tr1.12_th1.22,3m,2026-01-12 to 2026-04-10,30997.63,20997.63,209.9763,24.69,62
C_sp4.7_rv75_tr1.12_th1.22,6m,2025-10-10 to 2026-04-10,41981.58,31981.58,319.8158,34.18,125
C_sp4.7_rv75_tr1.12_th1.22,1y,2025-04-10 to 2026-04-10,71438.34,61438.34,614.3834,36.2,251
C_sp4.7_rv80_tr1.08_th1.18,2m,2026-02-10 to 2026-04-10,27200.12,17200.12,172.0012,16.73,42
C_sp4.7_rv80_tr1.08_th1.18,3m,2026-01-12 to 2026-04-10,29732.02,19732.02,197.3202,24.69,62
C_sp4.7_rv80_tr1.08_th1.18,6m,2025-10-10 to 2026-04-10,48746.48,38746.48,387.4648,29.75,125
C_sp4.7_rv80_tr1.08_th1.18,1y,2025-04-10 to 2026-04-10,83879.52,73879.52,738.7952,32.7,251
C_sp4.7_rv80_tr1.08_th1.20,2m,2026-02-10 to 2026-04-10,27200.12,17200.12,172.0012,16.73,42
C_sp4.7_rv80_tr1.08_th1.20,3m,2026-01-12 to 2026-04-10,29732.02,19732.02,197.3202,24.69,62
C_sp4.7_rv80_tr1.08_th1.20,6m,2025-10-10 to 2026-04-10,50036.05,40036.05,400.3605,29.75,125
C_sp4.7_rv80_tr1.08_th1.20,1y,2025-04-10 to 2026-04-10,86098.52,76098.52,760.9852,32.7,251
C_sp4.7_rv80_tr1.08_th1.22,2m,2026-02-10 to 2026-04-10,27200.12,17200.12,172.0012,16.73,42
C_sp4.7_rv80_tr1.08_th1.22,3m,2026-01-12 to 2026-04-10,29732.02,19732.02,197.3202,24.69,62
C_sp4.7_rv80_tr1.08_th1.22,6m,2025-10-10 to 2026-04-10,40498.75,30498.75,304.9875,34.07,125
C_sp4.7_rv80_tr1.08_th1.22,1y,2025-04-10 to 2026-04-10,69687.4,59687.4,596.874,36.05,251
C_sp4.7_rv80_tr1.10_th1.18,2m,2026-02-10 to 2026-04-10,27698.03,17698.03,176.9803,16.73,42
C_sp4.7_rv80_tr1.10_th1.18,3m,2026-01-12 to 2026-04-10,31188.42,21188.42,211.8842,24.69,62
C_sp4.7_rv80_tr1.10_th1.18,6m,2025-10-10 to 2026-04-10,50925.61,40925.61,409.2561,29.78,125
C_sp4.7_rv80_tr1.10_th1.18,1y,2025-04-10 to 2026-04-10,87142.22,77142.22,771.4222,32.78,251
C_sp4.7_rv80_tr1.10_th1.20,2m,2026-02-10 to 2026-04-10,27698.03,17698.03,176.9803,16.73,42
