Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
2021-04-12,10000.0,CASH,no change,no change,15:55,SOXL,SOXL,9999.0,-1.0,-0.01,0.01,,42.9501
2021-04-13,9999.0,SOXL,no change,no change,no change,no change,SOXL,9966.03,-32.97,-0.33,0.34,,
2021-04-14,9966.03,SOXL,no change,no change,no change,no change,SOXL,9583.78,-382.25,-3.84,4.16,,
2021-04-15,9583.78,SOXL,no change,no change,no change,no change,SOXL,10097.04,513.27,5.36,0.0,,
2021-04-16,10097.04,SOXL,no change,no change,no change,no change,SOXL,9950.78,-146.26,-1.45,1.45,,
2021-04-19,9950.78,SOXL,no change,no change,15:55,SOXS,SOXS,9165.4,-785.38,-7.89,9.23,,9.1911
2021-04-20,9165.4,SOXS,no change,no change,no change,no change,SOXS,9544.84,379.44,4.14,5.47,,
2021-04-21,9544.84,SOXS,no change,no change,15:55,SOXL,SOXL,8824.49,-720.35,-7.55,12.6,,40.535
2021-04-22,8824.49,SOXL,no change,no change,15:55,SOXS,SOXS,8231.44,-593.05,-6.72,18.48,,9.44
2021-04-23,8231.44,SOXS,no change,no change,no change,no change,SOXS,7734.42,-497.02,-6.04,23.4,,
2021-04-26,7734.42,SOXS,no change,no change,15:55,SOXL,SOXL,7349.28,-385.14,-4.98,27.21,,42.0512
2021-04-27,7349.28,SOXL,no change,no change,15:55,SOXS,SOXS,7249.67,-99.6,-1.36,28.2,,8.535
2021-04-28,7249.67,SOXS,no change,no change,no change,no change,SOXS,7559.71,310.03,4.28,25.13,,
2021-04-29,7559.71,SOXS,no change,no change,no change,no change,SOXS,7474.09,-85.62,-1.13,25.98,,
2021-04-30,7474.09,SOXS,no change,no change,no change,no change,SOXS,8090.59,616.5,8.25,19.87,,
2021-05-03,8090.59,SOXS,no change,no change,no change,no change,SOXS,8341.16,250.58,3.1,17.39,,
2021-05-04,8341.16,SOXS,no change,no change,no change,no change,SOXS,8825.32,484.16,5.8,12.59,,
2021-05-05,8825.32,SOXS,no change,no change,no change,no change,SOXS,8581.46,-243.86,-2.76,15.01,,
2021-05-06,8581.46,SOXS,no change,no change,no change,no change,SOXS,8434.6,-146.86,-1.71,16.46,,
2021-05-07,8434.6,SOXS,no change,no change,no change,no change,SOXS,7993.84,-440.76,-5.23,20.83,,
2021-05-10,7993.84,SOXS,no change,no change,no change,no change,SOXS,9058.91,1065.07,13.32,10.28,,
2021-05-11,9058.91,SOXS,no change,no change,no change,no change,SOXS,9088.64,29.73,0.33,9.99,,
2021-05-12,9088.64,SOXS,no change,no change,15:55,SOXL,SOXL,10224.8,1136.16,12.5,0.0,,27.88
2021-05-13,10224.8,SOXL,10:28,SOXL,15:55,SOXL,SOXL,10960.76,735.97,7.2,0.0,29.85,29.27
2021-05-14,10960.76,SOXL,08:07,SOXL,15:55,SOXS,SOXS,11387.44,426.68,3.89,0.0,30.45,10.35
2021-05-17,11387.44,SOXS,no change,no change,15:55,SOXL,SOXL,11781.06,393.61,3.46,0.0,,30.98
2021-05-18,11781.06,SOXL,04:00,SOXL,15:55,SOXL,SOXL,12182.46,401.41,3.41,0.0,32.55,30.447
2021-05-19,12182.46,SOXL,13:36,SOXL,15:55,SOXL,SOXL,12507.22,324.76,2.67,0.0,31.27,31.78
2021-05-20,12507.22,SOXL,no change,no change,no change,no change,SOXL,13652.28,1145.06,9.16,0.0,,
2021-05-21,13652.28,SOXL,no change,no change,no change,no change,SOXL,13428.16,-224.12,-1.64,1.64,,
2021-05-24,13428.16,SOXL,no change,no change,no change,no change,SOXL,14392.38,964.22,7.18,0.0,,
2021-05-25,14392.38,SOXL,no change,no change,no change,no change,SOXL,14442.38,50.0,0.35,0.0,,
2021-05-26,14442.38,SOXL,no change,no change,no change,no change,SOXL,14565.16,122.77,0.85,0.0,,
2021-05-27,14565.16,SOXL,no change,no change,15:55,SOXS,SOXS,14892.73,327.57,2.25,0.0,,8.61
2021-05-28,14892.73,SOXS,no change,no change,no change,no change,SOXS,14563.92,-328.81,-2.21,2.21,,
2021-06-01,14563.92,SOXS,no change,no change,no change,no change,SOXS,14591.59,27.67,0.19,2.02,,
2021-06-02,14591.59,SOXS,no change,no change,15:55,SOXL,SOXL,14424.21,-167.38,-1.15,3.15,,38.98
2021-06-03,14424.21,SOXL,no change,no change,no change,no change,SOXL,13776.35,-647.86,-4.49,7.5,,
2021-06-04,13776.35,SOXL,no change,no change,no change,no change,SOXL,14666.97,890.62,6.46,1.52,,
2021-06-07,14666.97,SOXL,no change,no change,no change,no change,SOXL,14387.88,-279.08,-1.9,3.39,,
2021-06-08,14387.88,SOXL,no change,no change,no change,no change,SOXL,14103.81,-284.07,-1.97,5.3,,
2021-06-09,14103.81,SOXL,no change,no change,no change,no change,SOXL,13946.51,-157.31,-1.12,6.35,,
2021-06-10,13946.51,SOXL,no change,no change,no change,no change,SOXL,14400.33,453.83,3.25,3.31,,
2021-06-11,14400.33,SOXL,no change,no change,no change,no change,SOXL,14575.47,175.14,1.22,2.13,,
2021-06-14,14575.47,SOXL,no change,no change,no change,no change,SOXL,15148.77,573.3,3.93,0.0,,
2021-06-15,15148.77,SOXL,no change,no change,no change,no change,SOXL,14807.12,-341.65,-2.26,2.26,,
