Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
2024-04-10,10000.0,CASH,no change,no change,15:55,SOXS,SOXS,9999.0,-1.0,-0.01,0.01,,3.435
2024-04-11,9999.0,SOXS,no change,no change,no change,no change,SOXS,9358.55,-640.45,-6.41,6.41,,
2024-04-12,9358.55,SOXS,no change,no change,no change,no change,SOXS,10275.53,916.98,9.8,0.0,,
2024-04-15,10275.53,SOXS,no change,no change,no change,no change,SOXS,10645.17,369.64,3.6,0.0,,
2024-04-16,10645.17,SOXS,no change,no change,no change,no change,SOXS,10380.37,-264.8,-2.49,2.49,,
2024-04-17,10380.37,SOXS,no change,no change,15:55,SOXL,SOXL,11338.68,958.31,9.23,0.0,,37.11
2024-04-18,11338.68,SOXL,no change,no change,no change,no change,SOXL,10599.75,-738.93,-6.52,6.52,,
2024-04-19,10599.75,SOXL,no change,no change,no change,no change,SOXL,9390.84,-1208.91,-11.41,17.18,,
2024-04-22,9390.84,SOXL,15:34,SOXL,15:55,SOXL,SOXL,9835.61,444.77,4.74,13.26,32.14,31.946
2024-04-23,9835.61,SOXL,10:50,SOXL,15:55,SOXL,SOXL,10398.87,563.26,5.73,8.29,33.82,34.09
2024-04-24,10398.87,SOXL,08:00,SOXL,15:55,SOXL,SOXL,10932.5,533.64,5.13,3.58,36.55,35.66
2024-04-25,10932.5,SOXL,14:44,SOXL,15:55,SOXL,SOXL,11377.23,444.73,4.07,0.0,37.129,37.4299
2024-04-26,11377.23,SOXL,no change,no change,no change,no change,SOXL,12058.54,681.3,5.99,0.0,,
2024-04-29,12058.54,SOXL,no change,no change,15:55,SOXS,SOXS,12332.82,274.29,2.27,0.0,,34.48
2024-04-30,12332.82,SOXS,no change,no change,15:55,SOXL,SOXL,13047.39,714.56,5.79,0.0,,38.25
2024-05-01,13047.39,SOXL,no change,no change,no change,no change,SOXL,11717.1,-1330.29,-10.2,10.2,,
2024-05-02,11717.1,SOXL,15:49,SOXL,15:55,SOXL,SOXL,12335.12,618.02,5.27,5.46,36.18,36.36
2024-05-03,12335.12,SOXL,09:33,SOXL,15:55,SOXS,SOXS,12961.28,626.16,5.08,0.66,38.21,35.13
2024-05-06,12961.28,SOXS,no change,no change,no change,no change,SOXS,12204.97,-756.31,-5.84,6.46,,
2024-05-07,12204.97,SOXS,no change,no change,15:55,SOXL,SOXL,12451.44,246.48,2.02,4.57,,40.38
2024-05-08,12451.44,SOXL,no change,no change,no change,no change,SOXL,12460.9,9.46,0.08,4.5,,
2024-05-09,12460.9,SOXL,no change,no change,no change,no change,SOXL,12277.13,-183.77,-1.47,5.9,,
2024-05-10,12277.13,SOXL,no change,no change,15:55,SOXS,SOXS,12676.71,399.59,3.25,2.84,,33.1499
2024-05-13,12676.71,SOXS,no change,no change,no change,no change,SOXS,12619.23,-57.48,-0.45,3.28,,
2024-05-14,12619.23,SOXS,no change,no change,no change,no change,SOXS,11988.37,-630.86,-5.0,8.12,,
2024-05-15,11988.37,SOXS,no change,no change,no change,no change,SOXS,11036.31,-952.06,-7.94,15.41,,
2024-05-16,11036.31,SOXS,no change,no change,15:55,SOXL,SOXL,11163.99,127.69,1.16,14.44,,46.28
2024-05-17,11163.99,SOXL,no change,no change,no change,no change,SOXL,10939.33,-224.67,-2.01,16.16,,
2024-05-20,10939.33,SOXL,13:41,SOXL,15:55,SOXL,SOXL,11651.4,712.07,6.51,10.7,48.3819,48.185
2024-05-21,11651.4,SOXL,no change,no change,no change,no change,SOXL,11627.2,-24.2,-0.21,10.88,,
2024-05-22,11627.2,SOXL,16:27,SOXL,15:55,SOXL,SOXL,12226.43,599.23,5.15,6.29,50.5799,49.37
2024-05-23,12226.43,SOXL,08:01,SOXL,15:55,SOXL,SOXL,12907.09,680.66,5.57,1.08,51.8,48.56
2024-05-24,12907.09,SOXL,13:08,SOXL,15:55,SOXL,SOXL,13559.57,652.48,5.06,0.0,51.095,51.475
2024-05-28,13559.57,SOXL,14:25,SOXL,15:55,SOXL,SOXL,14168.29,608.73,4.49,0.0,53.81,53.805
2024-05-29,14168.29,SOXL,no change,no change,no change,no change,SOXL,13391.42,-776.87,-5.48,5.48,,
2024-05-30,13391.42,SOXL,no change,no change,no change,no change,SOXL,13178.68,-212.75,-1.59,6.98,,
2024-05-31,13178.68,SOXL,no change,no change,no change,no change,SOXL,12660.32,-518.35,-3.93,10.64,,
2024-06-03,12660.32,SOXL,no change,no change,no change,no change,SOXL,12734.05,73.73,0.58,10.12,,
2024-06-04,12734.05,SOXL,no change,no change,no change,no change,SOXL,12519.95,-214.11,-1.68,11.63,,
2024-06-05,12519.95,SOXL,no change,no change,no change,no change,SOXL,14143.4,1623.45,12.97,0.18,,
2024-06-06,14143.4,SOXL,no change,no change,no change,no change,SOXL,13890.43,-252.97,-1.79,1.96,,
2024-06-07,13890.43,SOXL,no change,no change,no change,no change,SOXL,13678.9,-211.53,-1.52,3.45,,
2024-06-10,13678.9,SOXL,no change,no change,no change,no change,SOXL,14219.33,540.42,3.95,0.0,,
2024-06-11,14219.33,SOXL,no change,no change,no change,no change,SOXL,14264.86,45.54,0.32,0.0,,
2024-06-12,14264.86,SOXL,08:43,SOXL,15:55,SOXL,SOXL,14951.98,687.12,4.82,0.0,57.42,59.025
2024-06-13,14951.98,SOXL,no change,no change,no change,no change,SOXL,15431.52,479.54,3.21,0.0,,
2024-06-14,15431.52,SOXL,no change,no change,no change,no change,SOXL,15128.82,-302.7,-1.96,1.96,,
2024-06-17,15128.82,SOXL,no change,no change,no change,no change,SOXL,15979.62,850.8,5.62,0.0,,
2024-06-18,15979.62,SOXL,no change,no change,no change,no change,SOXL,16566.98,587.36,3.68,0.0,,
2024-06-20,16566.98,SOXL,no change,no change,no change,no change,SOXL,15312.19,-1254.79,-7.57,7.57,,
2024-06-21,15312.19,SOXL,no change,no change,no change,no change,SOXL,14710.85,-601.34,-3.93,11.2,,
2024-06-24,14710.85,SOXL,no change,no change,15:55,SOXS,SOXS,13488.37,-1222.48,-8.31,18.58,,23.995
2024-06-25,13488.37,SOXS,no change,no change,15:55,SOXL,SOXL,12929.79,-558.58,-4.14,21.95,,55.24
2024-06-26,12929.79,SOXL,no change,no change,15:55,SOXS,SOXS,12826.69,-103.1,-0.8,22.58,,22.9
2024-06-27,12826.69,SOXS,no change,no change,no change,no change,SOXS,13143.13,316.45,2.47,20.67,,
2024-06-28,13143.13,SOXS,no change,no change,15:55,SOXL,SOXL,12644.9,-498.23,-3.79,23.67,,55.6
2024-07-01,12644.9,SOXL,no change,no change,15:55,SOXS,SOXS,12594.62,-50.28,-0.4,23.98,,22.685
2024-07-02,12594.62,SOXS,no change,no change,15:55,SOXL,SOXL,12109.03,-485.59,-3.86,26.91,,57.525
2024-07-03,12109.03,SOXL,no change,no change,no change,no change,SOXL,12737.29,628.25,5.19,23.12,,
2024-07-05,12737.29,SOXL,no change,no change,no change,no change,SOXL,12866.26,128.97,1.01,22.34,,
2024-07-08,12866.26,SOXL,no change,no change,no change,no change,SOXL,13548.01,681.75,5.3,18.22,,
2024-07-09,13548.01,SOXL,no change,no change,no change,no change,SOXL,13488.93,-59.08,-0.44,18.58,,
2024-07-10,13488.93,SOXL,no change,no change,no change,no change,SOXL,14460.63,971.7,7.2,12.71,,
2024-07-11,14460.63,SOXL,no change,no change,no change,no change,SOXL,13075.56,-1385.07,-9.58,21.07,,
2024-07-12,13075.56,SOXL,12:00,SOXL,15:55,SOXL,SOXL,13702.68,627.11,4.8,17.29,65.2,64.1399
2024-07-15,13702.68,SOXL,no change,no change,no change,no change,SOXL,13670.03,-32.64,-0.24,17.49,,
2024-07-16,13670.03,SOXL,no change,no change,no change,no change,SOXL,13967.43,297.4,2.18,15.69,,
2024-07-17,13967.43,SOXL,no change,no change,15:55,SOXS,SOXS,11154.54,-2812.89,-20.14,32.67,,22.6
2024-07-18,11154.54,SOXS,no change,no change,no change,no change,SOXS,11147.13,-7.41,-0.07,32.71,,
2024-07-19,11147.13,SOXS,no change,no change,no change,no change,SOXS,12260.22,1113.08,9.99,26.0,,
2024-07-22,12260.22,SOXS,no change,no change,no change,no change,SOXS,10754.88,-1505.33,-12.28,35.08,,
2024-07-23,10754.88,SOXS,no change,no change,no change,no change,SOXS,11210.7,455.82,4.24,32.33,,
