Variant,Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
G1-412837,2025-06-16,11868.47,SOXL,18:51,SOXL,15:55,SOXL,SOXL,12897.03,1028.56,8.67,0.61,21.72,21.925
G1-412837,2025-06-17,12897.03,SOXL,no change,no change,no change,no change,SOXL,12622.65,-274.38,-2.13,2.72,,
G1-412837,2025-06-18,12622.65,SOXL,no change,no change,no change,no change,SOXL,12670.02,47.36,0.38,2.36,,
G1-412837,2025-06-20,12670.02,SOXL,no change,no change,15:55,TMF,TMF,12466.77,-203.25,-1.6,3.92,,37.3362
G1-412837,2025-06-23,12466.77,TMF,no change,no change,no change,no change,TMF,12620.28,153.51,1.23,2.74,,
G1-412837,2025-06-24,12620.28,TMF,no change,no change,15:55,SOXL,SOXL,12911.47,291.2,2.31,0.5,,24.0
G1-412837,2025-06-25,12911.47,SOXL,no change,no change,no change,no change,SOXL,13204.81,293.34,2.27,0.0,,
G1-412837,2025-06-26,13204.81,SOXL,no change,no change,no change,no change,SOXL,13519.72,314.91,2.38,0.0,,
G1-412837,2025-06-27,13519.72,SOXL,no change,no change,no change,no change,SOXL,13457.78,-61.94,-0.46,0.46,,
G1-412837,2025-06-30,13457.78,SOXL,no change,no change,no change,no change,SOXL,13506.69,48.9,0.36,0.1,,
G1-412837,2025-07-01,13506.69,SOXL,no change,no change,no change,no change,SOXL,13347.41,-159.28,-1.18,1.27,,
G1-412837,2025-07-02,13347.41,SOXL,no change,no change,no change,no change,SOXL,14028.25,680.84,5.1,0.0,,
G1-412837,2025-07-03,14028.25,SOXL,no change,no change,no change,no change,SOXL,14176.22,147.97,1.05,0.0,,
G1-412837,2025-07-07,14176.22,SOXL,no change,no change,no change,no change,SOXL,13449.63,-726.6,-5.13,5.13,,
G1-412837,2025-07-08,13449.63,SOXL,no change,no change,no change,no change,SOXL,14222.0,772.37,5.74,0.0,,
G1-412837,2025-07-09,14222.0,SOXL,no change,no change,no change,no change,SOXL,14305.5,83.5,0.59,0.0,,
G1-412837,2025-07-10,14305.5,SOXL,no change,no change,no change,no change,SOXL,14735.99,430.49,3.01,0.0,,
G1-412837,2025-07-11,14735.99,SOXL,no change,no change,no change,no change,SOXL,14714.45,-21.54,-0.15,0.15,,
G1-412837,2025-07-14,14714.45,SOXL,no change,no change,no change,no change,SOXL,14240.85,-473.6,-3.22,3.36,,
G1-412837,2025-07-15,14240.85,SOXL,no change,no change,no change,no change,SOXL,14762.87,522.02,3.67,0.0,,
G1-412837,2025-07-16,14762.87,SOXL,no change,no change,no change,no change,SOXL,14493.82,-269.05,-1.82,1.82,,
G1-412837,2025-07-17,14493.82,SOXL,no change,no change,no change,no change,SOXL,14709.13,215.31,1.49,0.36,,
G1-412837,2025-07-18,14709.13,SOXL,no change,no change,no change,no change,SOXL,14733.29,24.16,0.16,0.2,,
G1-412837,2025-07-21,14733.29,SOXL,no change,no change,no change,no change,SOXL,14806.01,72.72,0.49,0.0,,
G1-412837,2025-07-22,14806.01,SOXL,no change,no change,no change,no change,SOXL,14176.15,-629.86,-4.25,4.25,,
G1-412837,2025-07-23,14176.15,SOXL,no change,no change,15:55,SOXS,SOXS,13783.34,-392.81,-2.77,6.91,,7.62
G1-412837,2025-07-24,13783.34,SOXS,no change,no change,no change,no change,SOXS,13796.18,12.84,0.09,6.82,,
G1-412837,2025-07-25,13796.18,SOXS,no change,no change,no change,no change,SOXS,13846.88,50.7,0.37,6.48,,
G1-412837,2025-07-28,13846.88,SOXS,no change,no change,15:55,SOXL,SOXL,13063.67,-783.21,-5.66,11.77,,26.965
G1-412837,2025-07-29,13063.67,SOXL,no change,no change,no change,no change,SOXL,13124.26,60.59,0.46,11.36,,
G1-412837,2025-07-30,13124.26,SOXL,no change,no change,no change,no change,SOXL,13358.02,233.76,1.78,9.78,,
G1-412837,2025-07-31,13358.02,SOXL,no change,no change,15:55,SOXS,SOXS,12031.48,-1326.54,-9.93,18.74,,7.7652
G1-412837,2025-08-01,12031.48,SOXS,no change,no change,no change,no change,SOXS,12403.14,371.66,3.09,16.23,,
G1-412837,2025-08-04,12403.14,SOXS,no change,no change,no change,no change,SOXS,11938.3,-464.84,-3.75,19.37,,
G1-412837,2025-08-05,11938.3,SOXS,no change,no change,15:55,SOXL,SOXL,12114.07,175.77,1.47,18.18,,24.63
G1-412837,2025-08-06,12114.07,SOXL,no change,no change,no change,no change,SOXL,11767.22,-346.85,-2.86,20.52,,
G1-412837,2025-08-07,11767.22,SOXL,no change,no change,no change,no change,SOXL,12281.39,514.18,4.37,17.05,,
G1-412837,2025-08-08,12281.39,SOXL,no change,no change,no change,no change,SOXL,12647.96,366.56,2.98,14.58,,
G1-412837,2025-08-11,12647.96,SOXL,no change,no change,no change,no change,SOXL,12529.89,-118.06,-0.93,15.37,,
G1-412837,2025-08-12,12529.89,SOXL,no change,no change,no change,no change,SOXL,13804.25,1274.35,10.17,6.77,,
G1-412837,2025-08-13,13804.25,SOXL,no change,no change,no change,no change,SOXL,14420.83,616.58,4.47,2.6,,
G1-412837,2025-08-14,14420.83,SOXL,no change,no change,no change,no change,SOXL,14527.54,106.71,0.74,1.88,,
G1-412837,2025-08-15,14527.54,SOXL,no change,no change,no change,no change,SOXL,13486.88,-1040.66,-7.16,8.91,,
G1-412837,2025-08-18,13486.88,SOXL,no change,no change,no change,no change,SOXL,13548.39,61.51,0.46,8.49,,
G1-412837,2025-08-19,13548.39,SOXL,no change,no change,no change,no change,SOXL,12865.21,-683.18,-5.04,13.11,,
G1-412837,2025-08-20,12865.21,SOXL,no change,no change,no change,no change,SOXL,12692.24,-172.97,-1.34,14.28,,
G1-412837,2025-08-21,12692.24,SOXL,no change,no change,no change,no change,SOXL,12512.63,-179.61,-1.42,15.49,,
G1-412837,2025-08-22,12512.63,SOXL,10:21,SOXL,15:55,SOXL,SOXL,13586.73,1074.1,8.58,8.24,27.605,27.455
G1-412837,2025-08-25,13586.73,SOXL,no change,no change,no change,no change,SOXL,13566.91,-19.82,-0.15,8.37,,
G1-412837,2025-08-26,13566.91,SOXL,no change,no change,no change,no change,SOXL,13871.42,304.51,2.24,6.31,,
G1-412837,2025-08-27,13871.42,SOXL,no change,no change,no change,no change,SOXL,13950.6,79.17,0.57,5.78,,
G1-412837,2025-08-28,13950.6,SOXL,no change,no change,no change,no change,SOXL,14156.03,205.44,1.47,4.39,,
G1-412837,2025-08-29,14156.03,SOXL,no change,no change,no change,no change,SOXL,12797.16,-1358.87,-9.6,13.57,,
G1-412837,2025-09-02,12797.16,SOXL,no change,no change,no change,no change,SOXL,12492.27,-304.89,-2.38,15.63,,
G1-412837,2025-09-03,12492.27,SOXL,no change,no change,no change,no change,SOXL,12269.92,-222.36,-1.78,17.13,,
G1-412837,2025-09-04,12269.92,SOXL,no change,no change,no change,no change,SOXL,12653.57,383.66,3.13,14.54,,
G1-412837,2025-09-05,12653.57,SOXL,no change,no change,no change,no change,SOXL,13091.68,438.11,3.46,11.58,,
G1-412837,2025-09-08,13091.68,SOXL,no change,no change,no change,no change,SOXL,13383.77,292.09,2.23,9.61,,
G1-412837,2025-09-09,13383.77,SOXL,no change,no change,no change,no change,SOXL,13440.7,56.93,0.43,9.22,,
G1-412837,2025-09-10,13440.7,SOXL,no change,no change,no change,no change,SOXL,14163.47,722.77,5.38,4.34,,
G1-412837,2025-09-11,14163.47,SOXL,no change,no change,no change,no change,SOXL,14411.01,247.54,1.75,2.67,,
G1-412837,2025-09-12,14411.01,SOXL,no change,no change,no change,no change,SOXL,14534.75,123.74,0.86,1.83,,
G1-412837,2025-09-15,14534.75,SOXL,no change,no change,no change,no change,SOXL,14812.0,277.25,1.91,0.0,,
G1-412837,2025-09-16,14812.0,SOXL,no change,no change,no change,no change,SOXL,15128.76,316.76,2.14,0.0,,
G1-412837,2025-09-17,15128.76,SOXL,no change,no change,no change,no change,SOXL,15130.34,1.58,0.01,0.0,,
G1-412837,2025-09-18,15130.34,SOXL,no change,no change,no change,no change,SOXL,16643.69,1513.35,10.0,0.0,,
G1-412837,2025-09-19,16643.69,SOXL,no change,no change,no change,no change,SOXL,16309.54,-334.15,-2.01,2.01,,
G1-412837,2025-09-22,16309.54,SOXL,no change,no change,no change,no change,SOXL,17084.27,774.74,4.75,0.0,,
G1-412837,2025-09-23,17084.27,SOXL,no change,no change,no change,no change,SOXL,16977.85,-106.42,-0.62,0.62,,
G1-412837,2025-09-24,16977.85,SOXL,no change,no change,no change,no change,SOXL,16863.99,-113.86,-0.67,1.29,,
G1-412837,2025-09-25,16863.99,SOXL,no change,no change,no change,no change,SOXL,16717.95,-146.04,-0.87,2.14,,
G1-412837,2025-09-26,16717.95,SOXL,no change,no change,no change,no change,SOXL,16821.91,103.96,0.62,1.54,,
G1-412837,2025-09-29,16821.91,SOXL,no change,no change,no change,no change,SOXL,16856.56,34.65,0.21,1.33,,
G1-412837,2025-09-30,16856.56,SOXL,no change,no change,no change,no change,SOXL,17205.57,349.01,2.07,0.0,,
G1-412837,2025-10-01,17205.57,SOXL,no change,no change,no change,no change,SOXL,18252.61,1047.04,6.09,0.0,,
G1-412837,2025-10-02,18252.61,SOXL,no change,no change,no change,no change,SOXL,19319.45,1066.84,5.84,0.0,,
G1-412837,2025-10-03,19319.45,SOXL,no change,no change,no change,no change,SOXL,18945.68,-373.77,-1.93,1.93,,
G1-412837,2025-10-06,18945.68,SOXL,09:33,SOXL,15:55,SOXL,SOXL,20926.14,1980.45,10.45,0.0,42.3693,41.8197
G1-412837,2025-10-07,20926.14,SOXL,no change,no change,no change,no change,SOXL,19475.16,-1450.98,-6.93,6.93,,
G1-412837,2025-10-08,19475.16,SOXL,no change,no change,no change,no change,SOXL,21429.18,1954.02,10.03,0.0,,
G1-412837,2025-10-09,21429.18,SOXL,no change,no change,no change,no change,SOXL,21073.9,-355.28,-1.66,1.66,,
G1-412837,2025-10-10,21073.9,SOXL,no change,no change,no change,no change,SOXL,17275.95,-3797.96,-18.02,19.38,,
G1-412837,2025-10-13,17275.95,SOXL,04:00,SOXL,15:55,SOXL,SOXL,18685.72,1409.77,8.16,12.8,37.81,39.145
G1-412837,2025-10-14,18685.72,SOXL,no change,no change,no change,no change,SOXL,17487.58,-1198.14,-6.41,18.39,,
G1-412837,2025-10-15,17487.58,SOXL,11:37,SOXL,15:55,SOXL,SOXL,18749.4,1261.82,7.22,12.51,39.3,39.7899
G1-412837,2025-10-16,18749.4,SOXL,no change,no change,no change,no change,SOXL,19074.58,325.18,1.73,10.99,,
G1-412837,2025-10-17,19074.58,SOXL,no change,no change,no change,no change,SOXL,18942.64,-131.94,-0.69,11.6,,
G1-412837,2025-10-20,18942.64,SOXL,no change,no change,no change,no change,SOXL,19989.29,1046.65,5.53,6.72,,
G1-412837,2025-10-21,19989.29,SOXL,no change,no change,no change,no change,SOXL,19628.25,-361.04,-1.81,8.4,,
G1-412837,2025-10-22,19628.25,SOXL,no change,no change,15:55,SOXS,SOXS,18003.69,-1624.56,-8.28,15.99,,4.235
G1-412837,2025-10-23,18003.69,SOXS,09:50,SOXS,15:55,SOXL,SOXL,17087.23,-916.46,-5.09,20.26,4.02,41.24
G1-412837,2025-10-24,17087.23,SOXL,no change,no change,no change,no change,SOXL,18004.98,917.75,5.37,15.98,,
G1-412837,2025-10-27,18004.98,SOXL,no change,no change,no change,no change,SOXL,19446.87,1441.89,8.01,9.25,,
G1-412837,2025-10-28,19446.87,SOXL,no change,no change,no change,no change,SOXL,19498.67,51.79,0.27,9.01,,
G1-412837,2025-10-29,19498.67,SOXL,no change,no change,no change,no change,SOXL,20511.72,1013.05,5.2,4.28,,
G1-412837,2025-10-30,20511.72,SOXL,no change,no change,no change,no change,SOXL,19755.18,-756.54,-3.69,7.81,,
G1-412837,2025-10-31,19755.18,SOXL,no change,no change,no change,no change,SOXL,19929.58,174.39,0.88,7.0,,
G1-412837,2025-11-03,19929.58,SOXL,no change,no change,no change,no change,SOXL,20128.46,198.88,1.0,6.07,,
G1-412837,2025-11-04,20128.46,SOXL,no change,no change,no change,no change,SOXL,17731.52,-2396.94,-11.91,17.26,,
G1-412837,2025-11-05,17731.52,SOXL,15:50,SOXL,15:55,SOXS,SOXS,19620.94,1889.42,10.66,8.44,47.3901,3.275
G1-412837,2025-11-06,19620.94,SOXS,no change,no change,15:55,SOXL,SOXL,21429.36,1808.42,9.22,0.0,,43.07
G1-412837,2025-11-07,21429.36,SOXL,no change,no change,15:55,SOXS,SOXL,20505.53,-923.83,-4.31,4.31,,3.735
G1-412837,2025-11-10,20505.53,SOXL,04:00,SOXS,15:55,SOXL,SOXL,20970.6,465.07,2.27,2.14,3.415,45.085
G1-412837,2025-11-11,20970.6,SOXL,no change,no change,no change,no change,SOXL,19447.28,-1523.32,-7.26,9.25,,
G1-412837,2025-11-12,19447.28,SOXL,no change,no change,15:55,SOXS,SOXS,20289.85,842.56,4.33,5.32,,3.4795
G1-412837,2025-11-13,20289.85,SOXS,no change,no change,15:55,SOXL,SOXL,22357.63,2067.78,10.19,0.0,,39.135
G1-412837,2025-11-14,22357.63,SOXL,no change,no change,15:55,SOXS,SOXS,22159.39,-198.24,-0.89,0.89,,3.87
G1-412837,2025-11-17,22159.39,SOXS,no change,no change,no change,no change,SOXS,23288.96,1129.57,5.1,0.0,,
G1-412837,2025-11-18,23288.96,SOXS,no change,no change,no change,no change,SOXS,24643.88,1354.93,5.82,0.0,,
G1-412837,2025-11-19,24643.88,SOXS,17:36,SOXL,no change,no change,SOXS,23519.32,-1124.57,-4.56,4.56,38.27,
G1-412837,2025-11-20,23519.32,SOXS,no change,no change,15:55,SOXL,SOXL,27061.93,3542.61,15.06,0.0,,30.83
G1-412837,2025-11-21,27061.93,SOXL,no change,no change,no change,no change,SOXL,27781.71,719.78,2.66,0.0,,
G1-412837,2025-11-24,27781.71,SOXL,10:11,SOXL,15:55,SOXL,SOXL,30134.78,2353.07,8.47,0.0,34.29,36.125
G1-412837,2025-11-25,30134.78,SOXL,no change,no change,no change,no change,SOXL,30209.86,75.08,0.25,0.0,,
G1-412837,2025-11-26,30209.86,SOXL,15:57,SOXL,15:55,SOXL,SOXL,32744.9,2535.04,8.39,0.0,39.305,39.305
G1-412837,2025-11-28,32744.9,SOXL,no change,no change,no change,no change,SOXL,34206.98,1462.09,4.47,0.0,,
G1-412837,2025-12-01,34206.98,SOXL,no change,no change,no change,no change,SOXL,34502.73,295.75,0.86,0.0,,
G1-412837,2025-12-02,34502.73,SOXL,no change,no change,no change,no change,SOXL,36468.84,1966.11,5.7,0.0,,
G1-412837,2025-12-03,36468.84,SOXL,no change,no change,no change,no change,SOXL,38793.19,2324.34,6.37,0.0,,
G1-412837,2025-12-04,38793.19,SOXL,no change,no change,no change,no change,SOXL,37526.88,-1266.31,-3.26,3.26,,
G1-412837,2025-12-05,37526.88,SOXL,no change,no change,no change,no change,SOXL,38776.52,1249.65,3.33,0.04,,
G1-412837,2025-12-08,38776.52,SOXL,no change,no change,no change,no change,SOXL,39763.74,987.22,2.55,0.0,,
G1-412837,2025-12-09,39763.74,SOXL,no change,no change,no change,no change,SOXL,39863.72,99.97,0.25,0.0,,
G1-412837,2025-12-10,39863.72,SOXL,no change,no change,no change,no change,SOXL,41542.41,1678.69,4.21,0.0,,
G1-412837,2025-12-11,41542.41,SOXL,no change,no change,no change,no change,SOXL,40451.05,-1091.36,-2.63,2.63,,
G1-412837,2025-12-12,40451.05,SOXL,no change,no change,no change,no change,SOXL,34719.34,-5731.71,-14.17,16.42,,
G1-412837,2025-12-15,34719.34,SOXL,no change,no change,no change,no change,SOXL,34186.16,-533.18,-1.54,17.71,,
G1-412837,2025-12-16,34186.16,SOXL,no change,no change,no change,no change,SOXL,33932.06,-254.09,-0.74,18.32,,
G1-412837,2025-12-17,33932.06,SOXL,no change,no change,no change,no change,SOXL,29879.04,-4053.02,-11.94,28.08,,
G1-412837,2025-12-18,29879.04,SOXL,09:46,SOXL,15:55,SOXL,SOXL,32923.3,3044.25,10.19,20.75,39.69,38.7725
G1-412837,2025-12-19,32923.3,SOXL,no change,no change,no change,no change,SOXL,35545.02,2621.72,7.96,14.44,,
G1-412837,2025-12-22,35545.02,SOXL,no change,no change,no change,no change,SOXL,36645.5,1100.49,3.1,11.79,,
G1-412837,2025-12-23,36645.5,SOXL,no change,no change,no change,no change,SOXL,37086.21,440.7,1.2,10.73,,
G1-412837,2025-12-24,37086.21,SOXL,no change,no change,no change,no change,SOXL,37370.67,284.46,0.77,10.04,,
G1-412837,2025-12-26,37370.67,SOXL,no change,no change,no change,no change,SOXL,37595.69,225.02,0.6,9.5,,
G1-412837,2025-12-29,37595.69,SOXL,no change,no change,no change,no change,SOXL,37192.26,-403.43,-1.07,10.47,,
G1-412837,2025-12-30,37192.26,SOXL,no change,no change,no change,no change,SOXL,37129.94,-62.33,-0.17,10.62,,
G1-412837,2025-12-31,37129.94,SOXL,no change,no change,no change,no change,SOXL,35965.34,-1164.6,-3.14,13.42,,
G1-412837,2026-01-02,35965.34,SOXL,10:20,SOXL,15:55,SOXL,SOXL,39928.8,3963.46,11.02,3.88,46.96,47.24
G1-412837,2026-01-05,39928.8,SOXL,no change,no change,no change,no change,SOXL,41424.86,1496.06,3.75,0.28,,
G1-412837,2026-01-06,41424.86,SOXL,no change,no change,no change,no change,SOXL,45735.55,4310.69,10.41,0.0,,
G1-412837,2026-01-07,45735.55,SOXL,no change,no change,no change,no change,SOXL,44085.23,-1650.32,-3.61,3.61,,
G1-412837,2026-01-08,44085.23,SOXL,no change,no change,no change,no change,SOXL,41961.59,-2123.65,-4.82,8.25,,
G1-412837,2026-01-09,41961.59,SOXL,no change,no change,no change,no change,SOXL,45836.98,3875.39,9.24,0.0,,
G1-412837,2026-01-12,45836.98,SOXL,no change,no change,no change,no change,SOXL,46390.61,553.63,1.21,0.0,,
G1-412837,2026-01-13,46390.61,SOXL,no change,no change,no change,no change,SOXL,47341.49,950.89,2.05,0.0,,
G1-412837,2026-01-14,47341.49,SOXL,no change,no change,no change,no change,SOXL,46635.72,-705.77,-1.49,1.49,,
G1-412837,2026-01-15,46635.72,SOXL,09:37,SOXL,15:55,SOXL,SOXL,50704.08,4068.36,8.72,0.0,60.131,58.19
G1-412837,2026-01-16,50704.08,SOXL,no change,no change,no change,no change,SOXL,52917.32,2213.24,4.37,0.0,,
G1-412837,2026-01-20,52917.32,SOXL,no change,no change,no change,no change,SOXL,50638.73,-2278.59,-4.31,4.31,,
G1-412837,2026-01-21,50638.73,SOXL,11:42,SOXL,15:55,SOXL,SOXL,54788.74,4150.01,8.2,0.0,63.125,63.6
G1-412837,2026-01-22,54788.74,SOXL,no change,no change,no change,no change,SOXL,54728.44,-60.3,-0.11,0.11,,
G1-412837,2026-01-23,54728.44,SOXL,no change,no change,no change,no change,SOXL,52867.69,-1860.75,-3.4,3.51,,
G1-412837,2026-01-26,52867.69,SOXL,no change,no change,no change,no change,SOXL,52273.28,-594.41,-1.12,4.59,,
G1-412837,2026-01-27,52273.28,SOXL,no change,no change,no change,no change,SOXL,55960.33,3687.04,7.05,0.0,,
G1-412837,2026-01-28,55960.33,SOXL,04:00,SOXL,15:55,SOXL,SOXL,60311.38,4351.05,7.78,0.0,70.78,70.055
G1-412837,2026-01-29,60311.38,SOXL,no change,no change,no change,no change,SOXL,60487.86,176.49,0.29,0.0,,
G1-412837,2026-01-30,60487.86,SOXL,no change,no change,no change,no change,SOXL,53178.7,-7309.17,-12.08,12.08,,
G1-412837,2026-02-02,53178.7,SOXL,no change,no change,no change,no change,SOXL,55939.39,2760.69,5.19,7.52,,
G1-412837,2026-02-03,55939.39,SOXL,no change,no change,no change,no change,SOXL,52434.01,-3505.39,-6.27,13.31,,
G1-412837,2026-02-04,52434.01,SOXL,no change,no change,no change,no change,SOXL,45972.93,-6461.08,-12.32,24.0,,
G1-412837,2026-02-05,45972.93,SOXL,no change,no change,no change,no change,SOXL,45550.99,-421.93,-0.92,24.69,,
G1-412837,2026-02-06,45550.99,SOXL,09:56,SOXL,15:55,SOXL,SOXL,51055.54,5504.55,12.08,15.59,59.07,61.91
G1-412837,2026-02-09,51055.54,SOXL,no change,no change,no change,no change,SOXL,52832.71,1777.17,3.48,12.66,,
G1-412837,2026-02-10,52832.71,SOXL,no change,no change,no change,no change,SOXL,52236.56,-596.16,-1.13,13.64,,
G1-412837,2026-02-11,52236.56,SOXL,no change,no change,no change,no change,SOXL,56271.6,4035.05,7.72,6.97,,
G1-412837,2026-02-12,56271.6,SOXL,no change,no change,no change,no change,SOXL,52127.62,-4143.98,-7.36,13.82,,
G1-412837,2026-02-13,52127.62,SOXL,no change,no change,15:55,SOXS,SOXS,53011.86,884.24,1.7,12.36,,1.775
G1-412837,2026-02-17,53011.86,SOXS,no change,no change,15:55,SOXL,SOXL,52857.97,-153.89,-0.29,12.61,,64.235
G1-412837,2026-02-18,52857.97,SOXL,no change,no change,no change,no change,SOXL,54668.32,1810.35,3.42,9.62,,
G1-412837,2026-02-19,54668.32,SOXL,no change,no change,no change,no change,SOXL,53392.85,-1275.47,-2.33,11.73,,
G1-412837,2026-02-20,53392.85,SOXL,no change,no change,no change,no change,SOXL,54960.44,1567.59,2.94,9.14,,
G1-412837,2026-02-23,54960.44,SOXL,no change,no change,no change,no change,SOXL,53728.09,-1232.35,-2.24,11.18,,
G1-412837,2026-02-24,53728.09,SOXL,no change,no change,no change,no change,SOXL,56499.23,2771.15,5.16,6.59,,
G1-412837,2026-02-25,56499.23,SOXL,no change,no change,no change,no change,SOXL,59165.38,2666.15,4.72,2.19,,
G1-412837,2026-02-26,59165.38,SOXL,no change,no change,no change,no change,SOXL,53578.0,-5587.38,-9.44,11.42,,
G1-412837,2026-02-27,53578.0,SOXL,no change,no change,15:55,SOXS,SOXS,51498.14,-2079.85,-3.88,14.86,,1.7999
G1-412837,2026-03-02,51498.14,SOXS,no change,no change,no change,no change,SOXS,51501.0,2.86,0.01,14.86,,
G1-412837,2026-03-03,51501.0,SOXS,no change,no change,no change,no change,SOXS,59227.2,7726.2,15.0,2.08,,
G1-412837,2026-03-04,59227.2,SOXS,no change,no change,no change,no change,SOXS,55365.19,-3862.01,-6.52,8.47,,
G1-412837,2026-03-05,55365.19,SOXS,13:43,SOXS,15:55,SOXS,SOXS,59453.83,4088.63,7.38,1.71,41.72,40.4
G1-412837,2026-03-06,59453.83,SOXS,09:30,SOXS,15:55,SOXL,SOXL,63023.91,3570.08,6.0,0.0,43.2286,47.66
G1-412837,2026-03-09,63023.91,SOXL,15:43,SOXL,15:55,SOXL,SOXL,69538.3,6514.39,10.34,0.0,52.805,52.975
G1-412837,2026-03-10,69538.3,SOXL,no change,no change,no change,no change,SOXL,71100.37,1562.07,2.25,0.0,,
G1-412837,2026-03-11,71100.37,SOXL,no change,no change,15:55,SOXS,SOXS,73645.33,2544.96,3.58,0.0,,37.8201
G1-412837,2026-03-12,73645.33,SOXS,10:02,SOXS,15:55,SOXL,SOXL,79361.83,5716.5,7.76,0.0,40.685,50.09
G1-412837,2026-03-13,79361.83,SOXL,no change,no change,no change,no change,SOXL,79916.36,554.53,0.7,0.0,,
G1-412837,2026-03-16,79916.36,SOXL,15:13,SOXL,15:55,SOXL,SOXL,86260.48,6344.11,7.94,0.0,54.41,53.71
G1-412837,2026-03-17,86260.48,SOXL,no change,no change,no change,no change,SOXL,87995.0,1734.52,2.01,0.0,,
G1-412837,2026-03-18,87995.0,SOXL,no change,no change,no change,no change,SOXL,87465.01,-529.99,-0.6,0.6,,
G1-412837,2026-03-19,87465.01,SOXL,no change,no change,no change,no change,SOXL,88316.21,851.2,0.97,0.0,,
G1-412837,2026-03-20,88316.21,SOXL,no change,no change,no change,no change,SOXL,81498.56,-6817.65,-7.72,7.72,,
G1-412837,2026-03-23,81498.56,SOXL,10:50,SOXL,15:55,SOXS,SOXS,89214.1,7715.53,9.47,0.0,55.76,38.94
G1-412837,2026-03-24,89214.1,SOXS,11:24,SOXS,no change,no change,CASH,84987.73,-4226.37,-4.74,4.74,36.815,
G1-412837,2026-03-25,84987.73,CASH,no change,no change,15:55,SOXS,SOXS,84979.23,-8.5,-0.01,4.75,,36.015
G1-412837,2026-03-26,84979.23,SOXS,11:46,SOXS,15:55,SOXL,SOXL,92171.82,7192.59,8.46,0.0,38.99,48.99
