candidate_id,burst_ret3d_min,burst_rv20_max,burst_dd20_max,riskoff_rv20_min,riskoff_crossovers20_min,riskoff_dd20_min,router_days_v1_all,router_days_v2_all,router_days_m0106_all,1m_meta_final,1m_meta_return,1m_meta_dd,1m_best_baseline_final,1m_best_baseline_dd,wins_vs_best_baseline,avg_uplift_pct_vs_best_baseline,avg_dd_over_best_baseline_pct,ranking_score
MRV1-0013,0.1,140.0,18.0,90.0,7,18.0,288,111,191,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,0,-13.830553382162304,0.0,-138.30553382162304
MRV1-0017,0.12,120.0,12.0,90.0,7,18.0,267,130,193,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,0,-13.830553382162304,0.0,-138.30553382162304
MRV1-0018,0.12,120.0,12.0,90.0,9,18.0,267,132,191,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,0,-13.830553382162304,0.0,-138.30553382162304
MRV1-0019,0.12,120.0,12.0,100.0,7,18.0,267,130,193,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,0,-13.830553382162304,0.0,-138.30553382162304
MRV1-0020,0.12,120.0,12.0,100.0,9,18.0,267,132,191,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,0,-13.830553382162304,0.0,-138.30553382162304
MRV1-0021,0.12,120.0,18.0,90.0,7,18.0,282,116,192,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,0,-13.830553382162304,0.0,-138.30553382162304
MRV1-0022,0.12,120.0,18.0,90.0,9,18.0,282,118,190,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,0,-13.830553382162304,0.0,-138.30553382162304
MRV1-0023,0.12,120.0,18.0,100.0,7,18.0,282,116,192,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,0,-13.830553382162304,0.0,-138.30553382162304
MRV1-0024,0.12,120.0,18.0,100.0,9,18.0,282,118,190,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,0,-13.830553382162304,0.0,-138.30553382162304
MRV1-0026,0.12,140.0,12.0,90.0,9,18.0,267,132,191,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,0,-13.830553382162304,0.0,-138.30553382162304
MRV1-0025,0.12,140.0,12.0,90.0,7,18.0,267,130,193,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,0,-13.830553382162304,0.0,-138.30553382162304
MRV1-0029,0.12,140.0,18.0,90.0,7,18.0,282,116,192,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,0,-13.830553382162304,0.0,-138.30553382162304
MRV1-0027,0.12,140.0,12.0,100.0,7,18.0,267,130,193,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,0,-13.830553382162304,0.0,-138.30553382162304
MRV1-0031,0.12,140.0,18.0,100.0,7,18.0,282,116,192,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,0,-13.830553382162304,0.0,-138.30553382162304
MRV1-0028,0.12,140.0,12.0,100.0,9,18.0,267,132,191,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,0,-13.830553382162304,0.0,-138.30553382162304
MRV1-0030,0.12,140.0,18.0,90.0,9,18.0,282,118,190,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,0,-13.830553382162304,0.0,-138.30553382162304
MRV1-0032,0.12,140.0,18.0,100.0,9,18.0,282,118,190,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,0,-13.830553382162304,0.0,-138.30553382162304
