candidate_id,lookback_days,vol_penalty,dd_penalty,switch_penalty,min_edge_to_switch,min_hold_days,burst_ret3d_min,burst_rv20_max,burst_dd20_max,burst_v1_bonus,riskoff_rv20_min,riskoff_crossovers20_min,riskoff_dd20_min,riskoff_m0106_bonus,router_days_v1_all,router_days_v2_all,router_days_m0106_all,2m_meta_final,2m_meta_return,2m_meta_dd,2m_best_baseline_final,2m_best_baseline_dd,3m_meta_final,3m_meta_return,3m_meta_dd,3m_best_baseline_final,3m_best_baseline_dd,5m_meta_final,5m_meta_return,5m_meta_dd,5m_best_baseline_final,5m_best_baseline_dd,1y_meta_final,1y_meta_return,1y_meta_dd,1y_best_baseline_final,1y_best_baseline_dd,2y_meta_final,2y_meta_return,2y_meta_dd,2y_best_baseline_final,2y_best_baseline_dd,3y_meta_final,3y_meta_return,3y_meta_dd,3y_best_baseline_final,3y_best_baseline_dd,wins_vs_best_baseline,avg_uplift_pct_vs_best_baseline,avg_dd_over_best_baseline_pct,ranking_score
MRV2-00034,10,1.0,0.08,0.03,0.03,2,0.12,120.0,18.0,0.05,95.0,8,18.0,0.35,390,78,836,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,21121.589372797935,111.21589372797933,7.068698847574781,21200.832441858118,9.893362411045333,24199.766753665102,141.99766753665105,13.953549164913378,23557.666621484233,12.806243171288354,20826.497547391362,108.26497547391361,27.449508371291586,45708.51371640169,17.36049286438656,14878.928654768484,48.78928654768484,50.72358593807105,18241.95401664062,45.27001774988935,26816.412090506707,168.16412090506705,50.72358593807111,21993.867075218586,53.561105135378256,3,-7.342173874076507,2.7816482814519574,5839.2482811112095
MRV2-00036,10,1.0,0.08,0.03,0.03,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.35,390,78,836,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,21121.589372797935,111.21589372797933,7.068698847574781,21200.832441858118,9.893362411045333,24199.766753665102,141.99766753665105,13.953549164913378,23557.666621484233,12.806243171288354,20826.497547391362,108.26497547391361,27.449508371291586,45708.51371640169,17.36049286438656,14878.928654768484,48.78928654768484,50.72358593807105,18241.95401664062,45.27001774988935,26816.412090506707,168.16412090506705,50.72358593807111,21993.867075218586,53.561105135378256,3,-7.342173874076507,2.7816482814519574,5839.2482811112095
MRV2-00074,10,1.0,0.12,0.03,0.05,2,0.12,120.0,18.0,0.05,95.0,8,18.0,0.35,391,82,831,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,21121.589372797935,111.21589372797933,7.068698847574781,21200.832441858118,9.893362411045333,24199.766753665102,141.99766753665105,13.953549164913378,23557.666621484233,12.806243171288354,21096.751218525933,110.96751218525931,27.474660586475565,45708.51371640169,17.36049286438656,14092.586459672078,40.925864596720785,53.9051281180283,18241.95401664062,45.27001774988935,26541.316839514406,165.41316839514403,53.905128118028486,21993.867075218586,53.561105135378256,3,-8.170532521840656,3.373434511083868,5819.722177007768
MRV2-00076,10,1.0,0.12,0.03,0.05,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.35,391,82,831,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,21121.589372797935,111.21589372797933,7.068698847574781,21200.832441858118,9.893362411045333,24199.766753665102,141.99766753665105,13.953549164913378,23557.666621484233,12.806243171288354,21096.751218525933,110.96751218525931,27.474660586475565,45708.51371640169,17.36049286438656,14092.586459672078,40.925864596720785,53.9051281180283,18241.95401664062,45.27001774988935,26541.316839514406,165.41316839514403,53.905128118028486,21993.867075218586,53.561105135378256,3,-8.170532521840656,3.373434511083868,5819.722177007768
MRV2-00084,10,1.0,0.12,0.05,0.03,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.35,391,82,831,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,21121.589372797935,111.21589372797933,7.068698847574781,21200.832441858118,9.893362411045333,24199.766753665102,141.99766753665105,13.953549164913378,23557.666621484233,12.806243171288354,21096.751218525933,110.96751218525931,27.474660586475565,45708.51371640169,17.36049286438656,14092.586459672078,40.925864596720785,53.9051281180283,18241.95401664062,45.27001774988935,26541.316839514406,165.41316839514403,53.905128118028486,21993.867075218586,53.561105135378256,3,-8.170532521840656,3.373434511083868,5819.722177007768
MRV2-00082,10,1.0,0.12,0.05,0.03,2,0.12,120.0,18.0,0.05,95.0,8,18.0,0.35,391,82,831,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,21121.589372797935,111.21589372797933,7.068698847574781,21200.832441858118,9.893362411045333,24199.766753665102,141.99766753665105,13.953549164913378,23557.666621484233,12.806243171288354,21096.751218525933,110.96751218525931,27.474660586475565,45708.51371640169,17.36049286438656,14092.586459672078,40.925864596720785,53.9051281180283,18241.95401664062,45.27001774988935,26541.316839514406,165.41316839514403,53.905128118028486,21993.867075218586,53.561105135378256,3,-8.170532521840656,3.373434511083868,5819.722177007768
MRV2-00090,10,1.0,0.12,0.05,0.05,2,0.12,120.0,18.0,0.05,95.0,8,18.0,0.35,392,82,830,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,21121.589372797935,111.21589372797933,7.068698847574781,21200.832441858118,9.893362411045333,24199.766753665102,141.99766753665105,13.953549164913378,23557.666621484233,12.806243171288354,21096.751218525933,110.96751218525931,27.474660586475565,45708.51371640169,17.36049286438656,14092.586459672078,40.925864596720785,53.9051281180283,18241.95401664062,45.27001774988935,26541.316839514406,165.41316839514403,53.905128118028486,21993.867075218586,53.561105135378256,3,-8.170532521840656,3.373434511083868,5819.722177007768
MRV2-00092,10,1.0,0.12,0.05,0.05,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.35,393,82,829,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,21121.589372797935,111.21589372797933,7.068698847574781,21200.832441858118,9.893362411045333,24199.766753665102,141.99766753665105,13.953549164913378,23557.666621484233,12.806243171288354,21096.751218525933,110.96751218525931,27.474660586475565,45708.51371640169,17.36049286438656,14092.586459672078,40.925864596720785,53.9051281180283,18241.95401664062,45.27001774988935,25572.737894068527,155.72737894068527,53.90512811802838,21993.867075218586,53.561105135378256,3,-8.90450906034065,3.3734345110838504,5805.042646237767
MRV2-00066,10,1.0,0.12,0.03,0.03,2,0.12,120.0,18.0,0.05,95.0,8,18.0,0.35,395,82,827,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,21121.589372797935,111.21589372797933,7.068698847574781,21200.832441858118,9.893362411045333,24199.766753665102,141.99766753665105,13.953549164913378,23557.666621484233,12.806243171288354,21096.751218525933,110.96751218525931,27.474660586475565,45708.51371640169,17.36049286438656,14034.955017266331,40.34955017266331,54.26506452267923,18241.95401664062,45.27001774988935,24458.4096998385,144.584096998385,54.26506452267905,21993.867075218586,53.561105135378256,3,-9.801587154027535,3.4934133126341167,5786.501190356279
MRV2-00068,10,1.0,0.12,0.03,0.03,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.35,395,82,827,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,21121.589372797935,111.21589372797933,7.068698847574781,21200.832441858118,9.893362411045333,24199.766753665102,141.99766753665105,13.953549164913378,23557.666621484233,12.806243171288354,21096.751218525933,110.96751218525931,27.474660586475565,45708.51371640169,17.36049286438656,14034.955017266331,40.34955017266331,54.26506452267923,18241.95401664062,45.27001774988935,24458.4096998385,144.584096998385,54.26506452267905,21993.867075218586,53.561105135378256,3,-9.801587154027535,3.4934133126341167,5786.501190356279
MRV2-00042,10,1.0,0.08,0.03,0.05,2,0.12,120.0,18.0,0.05,95.0,8,18.0,0.35,390,78,836,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,21121.589372797935,111.21589372797933,7.068698847574781,21200.832441858118,9.893362411045333,24199.766753665102,141.99766753665105,13.953549164913378,23557.666621484233,12.806243171288354,20826.497547391362,108.26497547391361,27.449508371291586,45708.51371640169,17.36049286438656,13642.602259136427,36.42602259136427,55.04257905451719,18241.95401664062,45.27001774988935,24588.171141652245,145.88171141652248,55.04257905451706,21993.867075218586,53.561105135378256,3,-10.160269108443684,3.7483927873827825,5778.052653894213
