Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2025-03-19,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-20,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-21,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-24,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-25,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-26,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-27,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-28,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-31,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-01,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-02,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-03,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-04,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-07,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-08,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-09,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-10,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-11,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-14,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-15,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-16,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-17,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-21,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-22,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-23,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-24,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-25,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-28,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-29,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-30,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-01,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-02,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-05,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-06,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-07,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-08,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-09,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-12,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-13,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-14,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-15,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-16,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-19,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-20,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-21,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-22,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-23,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-27,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-28,10000.0,10000.0,0.0,0.0,0.0,{},warmup
